metric,value
source_raw_npz,/home/xiao/文档/KMC/kmc_al2o3_10nm_200k/al2o3_10nm_raw.npz
assumptions.dx_nm,0.5
assumptions.film_thickness_nm,10.0
assumptions.temperature_c,38.0
assumptions.rh_high,0.9
assumptions.rh_low,0.0
assumptions.wvtr_formula,"WVTR = D_eff * delta_C / L * 86400 * 1000, units g m^-2 day^-1"
assumptions.delta_c_vapor_kg_m3_ideal_gas,0.04155439204325271
assumptions.delta_c_used_kg_m3,0.04155439204325271
assumptions.literature_sorbed_delta_c_kg_m3_from_C1_0.00677_g_cm3,6.77
assumptions.path_length_definition,Lpath = path_steps * dx_nm; includes surface and bulk lattice hops.
assumptions.tortuosity_definition,tau = Lpath / film_thickness_nm.
assumptions.censoring_note,"FPT, Lpath, tau summaries are for transmitted particles unless explicitly named all_particles."
Ptrans,1.0
particles,200000
transmitted,200000
non_transmitted,0
FPT_success_s.count,200000
FPT_success_s.mean,0.655689057171094
FPT_success_s.median,0.514337027916545
FPT_success_s.std,0.5026246565461134
FPT_success_s.p01,0.09346161333377381
FPT_success_s.p05,0.14852649224823483
FPT_success_s.p10,0.19299304393445318
FPT_success_s.p25,0.30488815833348926
FPT_success_s.p75,0.8527230744304277
FPT_success_s.p90,1.2974294246026317
FPT_success_s.p95,1.6420073562293676
FPT_success_s.p99,2.455520511133619
FPT_success_s.min,0.03061387394477076
FPT_success_s.max,6.8953711479003585
FPT_all_recorded_s.count,200000
FPT_all_recorded_s.mean,0.655689057171094
FPT_all_recorded_s.median,0.514337027916545
FPT_all_recorded_s.std,0.5026246565461134
FPT_all_recorded_s.p01,0.09346161333377381
FPT_all_recorded_s.p05,0.14852649224823483
FPT_all_recorded_s.p10,0.19299304393445318
FPT_all_recorded_s.p25,0.30488815833348926
FPT_all_recorded_s.p75,0.8527230744304277
FPT_all_recorded_s.p90,1.2974294246026317
FPT_all_recorded_s.p95,1.6420073562293676
FPT_all_recorded_s.p99,2.455520511133619
FPT_all_recorded_s.min,0.03061387394477076
FPT_all_recorded_s.max,6.8953711479003585
path_steps_success.count,200000
path_steps_success.mean,6628.28128
path_steps_success.median,3183.0
path_steps_success.std,9389.88491590933
path_steps_success.p01,203.0
path_steps_success.p05,412.0
path_steps_success.p10,627.0
path_steps_success.p25,1323.0
path_steps_success.p75,7719.0
path_steps_success.p90,16905.100000000006
path_steps_success.p95,25363.0
path_steps_success.p99,46243.04000000004
path_steps_success.min,34.0
path_steps_success.max,162027.0
path_length_success_nm.count,200000
path_length_success_nm.mean,3314.14064
path_length_success_nm.median,1591.5
path_length_success_nm.std,4694.942457954665
path_length_success_nm.p01,101.5
path_length_success_nm.p05,206.0
path_length_success_nm.p10,313.5
path_length_success_nm.p25,661.5
path_length_success_nm.p75,3859.5
path_length_success_nm.p90,8452.550000000003
path_length_success_nm.p95,12681.5
path_length_success_nm.p99,23121.52000000002
path_length_success_nm.min,17.0
path_length_success_nm.max,81013.5
path_length_success_um.count,200000
path_length_success_um.mean,3.31414064
path_length_success_um.median,1.5915
path_length_success_um.std,4.6949424579546655
path_length_success_um.p01,0.1015
path_length_success_um.p05,0.206
path_length_success_um.p10,0.3135
path_length_success_um.p25,0.6615
path_length_success_um.p75,3.8595
path_length_success_um.p90,8.452550000000004
path_length_success_um.p95,12.6815
path_length_success_um.p99,23.121520000000018
path_length_success_um.min,0.017
path_length_success_um.max,81.0135
path_length_success_mm.count,200000
path_length_success_mm.mean,0.0033141406399999998
path_length_success_mm.median,0.0015915
path_length_success_mm.std,0.004694942457954665
path_length_success_mm.p01,0.0001015
path_length_success_mm.p05,0.000206
path_length_success_mm.p10,0.0003135
path_length_success_mm.p25,0.0006615
path_length_success_mm.p75,0.0038595
path_length_success_mm.p90,0.008452550000000003
path_length_success_mm.p95,0.0126815
path_length_success_mm.p99,0.023121520000000017
path_length_success_mm.min,1.7e-05
path_length_success_mm.max,0.0810135
tortuosity_success.count,200000
tortuosity_success.mean,331.414064
tortuosity_success.median,159.15
tortuosity_success.std,469.4942457954664
tortuosity_success.p01,10.15
tortuosity_success.p05,20.6
tortuosity_success.p10,31.35
tortuosity_success.p25,66.15
tortuosity_success.p75,385.95
tortuosity_success.p90,845.2550000000003
tortuosity_success.p95,1268.15
tortuosity_success.p99,2312.152000000002
tortuosity_success.min,1.7
tortuosity_success.max,8101.35
final_depth_non_transmitted_nm.count,0
final_depth_non_transmitted_nm.mean,
final_depth_non_transmitted_nm.median,
final_depth_non_transmitted_nm.std,
final_depth_non_transmitted_nm.p01,
final_depth_non_transmitted_nm.p05,
final_depth_non_transmitted_nm.p10,
final_depth_non_transmitted_nm.p25,
final_depth_non_transmitted_nm.p75,
final_depth_non_transmitted_nm.p90,
final_depth_non_transmitted_nm.p95,
final_depth_non_transmitted_nm.p99,
final_depth_non_transmitted_nm.min,
final_depth_non_transmitted_nm.max,
D_eff_m2_s.success_mean_FPT,7.625565724052204e-17
D_eff_m2_s.success_median_FPT,9.721252269652434e-17
WVTR_g_m2_day.using_ideal_vapor_delta_c,0.027378064596861113
WVTR_g_m2_day.using_user_delta_c,
WVTR_g_m2_day.using_literature_sorbed_C1_6p77_kg_m3,4.460406907838407
WVTR_g_m2_day.relative_WVTR_factor_equals_relative_D_eff,True
