metric,value
source_raw_npz,/home/xiao/文档/KMC/kmc_bilayer_all/kmc_bilayer_corrected_200k_v2/bilayer_corrected_raw.npz
assumptions.dx_nm,0.5
assumptions.film_thickness_nm,10.5
assumptions.temperature_c,38.0
assumptions.rh_high,0.9
assumptions.rh_low,0.0
assumptions.wvtr_formula,"WVTR = D_eff * delta_C / L * 86400 * 1000, units g m^-2 day^-1"
assumptions.delta_c_vapor_kg_m3_ideal_gas,0.04155439204325271
assumptions.delta_c_used_kg_m3,0.04155439204325271
assumptions.literature_sorbed_delta_c_kg_m3_from_C1_0.00677_g_cm3,6.77
assumptions.path_length_definition,Lpath = path_steps * dx_nm; includes surface and bulk lattice hops.
assumptions.tortuosity_definition,tau = Lpath / film_thickness_nm.
assumptions.censoring_note,"FPT, Lpath, tau summaries are for transmitted particles unless explicitly named all_particles."
Ptrans,0.1833
particles,200000
transmitted,36660
non_transmitted,163340
FPT_success_s.count,36660
FPT_success_s.mean,4258.359460179443
FPT_success_s.median,4173.3980303426615
FPT_success_s.std,2543.390298634109
FPT_success_s.p01,106.71896604616613
FPT_success_s.p05,435.5166973161864
FPT_success_s.p10,830.9574602661139
FPT_success_s.p25,2045.3702827981253
FPT_success_s.p75,6430.270170430916
FPT_success_s.p90,7822.630155303531
FPT_success_s.p95,8343.037030275573
FPT_success_s.p99,8948.025516848327
FPT_success_s.min,8.54478044756812
FPT_success_s.max,9988.913323024593
FPT_all_recorded_s.count,200000
FPT_all_recorded_s.mean,7941.415423089206
FPT_all_recorded_s.median,8654.23382664339
FPT_all_recorded_s.std,2086.398285337472
FPT_all_recorded_s.p01,472.384996363982
FPT_all_recorded_s.p05,2228.3829206784644
FPT_all_recorded_s.p10,4570.5101458556155
FPT_all_recorded_s.p25,8264.57317289437
FPT_all_recorded_s.p75,8960.057350589737
FPT_all_recorded_s.p90,9221.000530958589
FPT_all_recorded_s.p95,9380.148873391858
FPT_all_recorded_s.p99,9683.909017275251
FPT_all_recorded_s.min,8.54478044756812
FPT_all_recorded_s.max,10706.01753719644
path_steps_success.count,36660
path_steps_success.mean,2408578.28832515
path_steps_success.median,2362548.0
path_steps_success.std,1438532.8353720126
path_steps_success.p01,58647.47
path_steps_success.p05,237107.95
path_steps_success.p10,461553.0
path_steps_success.p25,1153790.5
path_steps_success.p75,3648966.25
path_steps_success.p90,4438954.0
path_steps_success.p95,4721950.899999999
path_steps_success.p99,4945719.97
path_steps_success.min,2650.0
path_steps_success.max,4999875.0
path_length_success_nm.count,36660
path_length_success_nm.mean,1204289.144162575
path_length_success_nm.median,1181274.0
path_length_success_nm.std,719266.4176860063
path_length_success_nm.p01,29323.735
path_length_success_nm.p05,118553.975
path_length_success_nm.p10,230776.5
path_length_success_nm.p25,576895.25
path_length_success_nm.p75,1824483.125
path_length_success_nm.p90,2219477.0
path_length_success_nm.p95,2360975.4499999997
path_length_success_nm.p99,2472859.985
path_length_success_nm.min,1325.0
path_length_success_nm.max,2499937.5
path_length_success_um.count,36660
path_length_success_um.mean,1204.2891441625752
path_length_success_um.median,1181.274
path_length_success_um.std,719.2664176860063
path_length_success_um.p01,29.323735
path_length_success_um.p05,118.55397500000001
path_length_success_um.p10,230.7765
path_length_success_um.p25,576.89525
path_length_success_um.p75,1824.483125
path_length_success_um.p90,2219.4770000000003
path_length_success_um.p95,2360.97545
path_length_success_um.p99,2472.8599849999996
path_length_success_um.min,1.325
path_length_success_um.max,2499.9375
path_length_success_mm.count,36660
path_length_success_mm.mean,1.2042891441625752
path_length_success_mm.median,1.181274
path_length_success_mm.std,0.7192664176860063
path_length_success_mm.p01,0.029323735
path_length_success_mm.p05,0.11855397499999999
path_length_success_mm.p10,0.23077650000000002
path_length_success_mm.p25,0.5768952500000001
path_length_success_mm.p75,1.824483125
path_length_success_mm.p90,2.219477
path_length_success_mm.p95,2.3609754499999993
path_length_success_mm.p99,2.472859985
path_length_success_mm.min,0.001325
path_length_success_mm.max,2.4999375
tortuosity_success.count,36660
tortuosity_success.mean,114694.20420595953
tortuosity_success.median,112502.28571428571
tortuosity_success.std,68501.56358914346
tortuosity_success.p01,2792.7366666666667
tortuosity_success.p05,11290.854761904762
tortuosity_success.p10,21978.714285714286
tortuosity_success.p25,54942.40476190476
tortuosity_success.p75,173760.29761904763
tortuosity_success.p90,211378.7619047619
tortuosity_success.p95,224854.80476190473
tortuosity_success.p99,235510.47476190474
tortuosity_success.min,126.19047619047619
tortuosity_success.max,238089.2857142857
final_depth_non_transmitted_nm.count,163340
final_depth_non_transmitted_nm.mean,2.7935135300599976
final_depth_non_transmitted_nm.median,3.0
final_depth_non_transmitted_nm.std,1.4680049157362525
final_depth_non_transmitted_nm.p01,0.0
final_depth_non_transmitted_nm.p05,0.0
final_depth_non_transmitted_nm.p10,0.5
final_depth_non_transmitted_nm.p25,1.5
final_depth_non_transmitted_nm.p75,4.0
final_depth_non_transmitted_nm.p90,4.5
final_depth_non_transmitted_nm.p95,4.5
final_depth_non_transmitted_nm.p99,4.5
final_depth_non_transmitted_nm.min,0.0
final_depth_non_transmitted_nm.max,8.0
D_eff_m2_s.success_mean_FPT,1.2945126055111633e-20
D_eff_m2_s.success_median_FPT,1.3208661047715574e-20
WVTR_g_m2_day.using_ideal_vapor_delta_c,4.426369452151686e-06
WVTR_g_m2_day.using_user_delta_c,
WVTR_g_m2_day.using_literature_sorbed_C1_6p77_kg_m3,0.00072113968506327
WVTR_g_m2_day.relative_WVTR_factor_equals_relative_D_eff,True
