metric,value
particles,20000
reflected_at_surface,19474
entered_pinhole,526
transmitted,0
success_rate_total,0.0
success_rate_of_entered,0.0
pinhole_area_fraction,0.025
mean_first_passage_s,
median_first_passage_s,
p10_first_passage_s,
p90_first_passage_s,
mean_path_steps_success,
median_path_steps_success,
D_eff_m2_s,
tortuosity_steps_over_thickness,
non_transmitted_trapped,526
trapped_mean_depth_nm,2.1045627376425857
trapped_median_depth_nm,2.0
elapsed_s,1.1967759132385254
model,corrected_bilayer_v2
corrections,"[""Al2O3_matrix_impermeable"", ""ZnO_bulk_impermeable"", ""surface_reflection_mechanism"", ""GB_dead_end_blockage"", ""D_eff_1D_formula""]"
environment.temperature_c,38.0
environment.temperature_k,311.15
environment.rh,0.9
periods,1
total_thickness_nm,10.5
width_nm,320.0
dx_nm,0.5
max_events,80000
barriers_eV.E_Al_pinhole,0.58
barriers_eV.E_ZnO_GB,0.72
barriers_eV.E_interface,0.76
barriers_eV.E_Al_matrix,infinite (impermeable)
barriers_eV.E_ZnO_bulk,infinite (impermeable)
gb_block_fraction,0.2
geometry_metadata.periods,"[{""period"": 1, ""pinholes"": [{""x_nm"": 63.69634906468236, ""diameter_nm"": 1.8870167292407483}, {""x_nm"": 115.72048665974401, ""diameter_nm"": 1.1401993869048914}, {""x_nm"": 178.3767610644728, ""diameter_nm"": 1.9577263559404798}, {""x_nm"": 254.582316938204, ""diameter_nm"": 1.2866487006518406}], ""zno_grain_count"": 38, ""zno_gb_fraction"": 0.118359375, ""gb_blocked_fraction"": 0.2, ""pinhole_coverage"": 0.025}]"
