metric,value
particles,20000
reflected_at_surface,19474
entered_pinhole,526
transmitted,3
success_rate_total,0.00015
success_rate_of_entered,0.005703422053231939
pinhole_area_fraction,0.025
mean_first_passage_s,522.3710103307964
median_first_passage_s,491.82459477995553
p10_first_passage_s,368.85892751579416
p90_first_passage_s,688.1016593661348
mean_path_steps_success,305398.0
median_path_steps_success,301106.0
D_eff_m2_s,1.0552844417053617e-19
tortuosity_steps_over_thickness,14542.761904761905
non_transmitted_trapped,523
trapped_mean_depth_nm,2.913001912045889
trapped_median_depth_nm,3.5
elapsed_s,5.647503137588501
model,corrected_bilayer_v2
corrections,"[""Al2O3_matrix_impermeable"", ""ZnO_bulk_impermeable"", ""surface_reflection_mechanism"", ""GB_dead_end_blockage"", ""D_eff_1D_formula""]"
environment.temperature_c,38.0
environment.temperature_k,311.15
environment.rh,0.9
periods,1
total_thickness_nm,10.5
width_nm,320.0
dx_nm,0.5
max_events,500000
barriers_eV.E_Al_pinhole,0.58
barriers_eV.E_ZnO_GB,0.72
barriers_eV.E_interface,0.62
barriers_eV.E_Al_matrix,infinite (impermeable)
barriers_eV.E_ZnO_bulk,infinite (impermeable)
gb_block_fraction,0.2
geometry_metadata.periods,"[{""period"": 1, ""pinholes"": [{""x_nm"": 63.69634906468236, ""diameter_nm"": 1.8870167292407483}, {""x_nm"": 115.72048665974401, ""diameter_nm"": 1.1401993869048914}, {""x_nm"": 178.3767610644728, ""diameter_nm"": 1.9577263559404798}, {""x_nm"": 254.582316938204, ""diameter_nm"": 1.2866487006518406}], ""zno_grain_count"": 38, ""zno_gb_fraction"": 0.118359375, ""gb_blocked_fraction"": 0.2, ""pinhole_coverage"": 0.025}]"
