metric,value
source_raw_npz,/home/xiao/文档/KMC/kmc_bilayer_all/kmc_bilayer_single_layer_200k/bilayer_corrected_raw.npz
assumptions.dx_nm,0.5
assumptions.film_thickness_nm,10.5
assumptions.temperature_c,38.0
assumptions.rh_high,0.9
assumptions.rh_low,0.0
assumptions.wvtr_formula,"WVTR = D_eff * delta_C / L * 86400 * 1000, units g m^-2 day^-1"
assumptions.delta_c_vapor_kg_m3_ideal_gas,0.04155439204325271
assumptions.delta_c_used_kg_m3,0.04155439204325271
assumptions.literature_sorbed_delta_c_kg_m3_from_C1_0.00677_g_cm3,6.77
assumptions.path_length_definition,Lpath = path_steps * dx_nm; includes surface and bulk lattice hops.
assumptions.tortuosity_definition,tau = Lpath / film_thickness_nm.
assumptions.censoring_note,"FPT, Lpath, tau summaries are for transmitted particles unless explicitly named all_particles."
Ptrans,0.468585
particles,200000
transmitted,93717
non_transmitted,106283
FPT_success_s.count,93717
FPT_success_s.mean,4097.247676021099
FPT_success_s.median,3815.206716494802
FPT_success_s.std,2650.0307747746374
FPT_success_s.p01,79.84492498283146
FPT_success_s.p05,349.01421285768834
FPT_success_s.p10,691.8545145603545
FPT_success_s.p25,1777.4328314694276
FPT_success_s.p75,6274.8355037016345
FPT_success_s.p90,7996.75530289731
FPT_success_s.p95,8621.400310163614
FPT_success_s.p99,9262.205585972339
FPT_success_s.min,4.3058420857734045
FPT_success_s.max,10241.65069156256
FPT_all_recorded_s.count,200000
FPT_all_recorded_s.mean,6079.861658322084
FPT_all_recorded_s.median,7887.254488183646
FPT_all_recorded_s.std,3574.766741687759
FPT_all_recorded_s.p01,0.0005227102209588362
FPT_all_recorded_s.p05,0.015048518758892269
FPT_all_recorded_s.p10,264.15802732192117
FPT_all_recorded_s.p25,2616.9644518806267
FPT_all_recorded_s.p75,9229.239680406678
FPT_all_recorded_s.p90,9513.745370554632
FPT_all_recorded_s.p95,9659.326618849369
FPT_all_recorded_s.p99,9906.080478466016
FPT_all_recorded_s.min,0.0
FPT_all_recorded_s.max,10643.304479532964
path_steps_success.count,93717
path_steps_success.mean,2199946.0609814655
path_steps_success.median,2050989.0
path_steps_success.std,1424865.9682493012
path_steps_success.p01,40339.079999999994
path_steps_success.p05,182187.60000000003
path_steps_success.p10,365865.20000000007
path_steps_success.p25,948128.0
path_steps_success.p75,3378902.0
path_steps_success.p90,4300755.2
path_steps_success.p95,4637489.8
path_steps_success.p99,4922057.04
path_steps_success.min,1122.0
path_steps_success.max,4999982.0
path_length_success_nm.count,93717
path_length_success_nm.mean,1099973.0304907328
path_length_success_nm.median,1025494.5
path_length_success_nm.std,712432.9841246506
path_length_success_nm.p01,20169.539999999997
path_length_success_nm.p05,91093.80000000002
path_length_success_nm.p10,182932.60000000003
path_length_success_nm.p25,474064.0
path_length_success_nm.p75,1689451.0
path_length_success_nm.p90,2150377.6
path_length_success_nm.p95,2318744.9
path_length_success_nm.p99,2461028.52
path_length_success_nm.min,561.0
path_length_success_nm.max,2499991.0
path_length_success_um.count,93717
path_length_success_um.mean,1099.9730304907328
path_length_success_um.median,1025.4945
path_length_success_um.std,712.4329841246506
path_length_success_um.p01,20.169539999999998
path_length_success_um.p05,91.09380000000002
path_length_success_um.p10,182.93260000000004
path_length_success_um.p25,474.064
path_length_success_um.p75,1689.451
path_length_success_um.p90,2150.3776000000003
path_length_success_um.p95,2318.7448999999997
path_length_success_um.p99,2461.02852
path_length_success_um.min,0.561
path_length_success_um.max,2499.991
path_length_success_mm.count,93717
path_length_success_mm.mean,1.0999730304907327
path_length_success_mm.median,1.0254945
path_length_success_mm.std,0.7124329841246506
path_length_success_mm.p01,0.02016954
path_length_success_mm.p05,0.09109380000000002
path_length_success_mm.p10,0.18293260000000003
path_length_success_mm.p25,0.474064
path_length_success_mm.p75,1.689451
path_length_success_mm.p90,2.1503776
path_length_success_mm.p95,2.3187448999999996
path_length_success_mm.p99,2.4610285199999997
path_length_success_mm.min,0.000561
path_length_success_mm.max,2.499991
tortuosity_success.count,93717
tortuosity_success.mean,104759.33623721266
tortuosity_success.median,97666.14285714286
tortuosity_success.std,67850.76039282387
tortuosity_success.p01,1920.9085714285711
tortuosity_success.p05,8675.600000000002
tortuosity_success.p10,17422.152380952382
tortuosity_success.p25,45148.95238095238
tortuosity_success.p75,160900.09523809524
tortuosity_success.p90,204797.86666666667
tortuosity_success.p95,220832.84761904762
tortuosity_success.p99,234383.66857142857
tortuosity_success.min,53.42857142857143
tortuosity_success.max,238094.38095238095
final_depth_non_transmitted_nm.count,106283
final_depth_non_transmitted_nm.mean,2.4008025742592887
final_depth_non_transmitted_nm.median,2.5
final_depth_non_transmitted_nm.std,1.6840164215134892
final_depth_non_transmitted_nm.p01,0.0
final_depth_non_transmitted_nm.p05,0.0
final_depth_non_transmitted_nm.p10,0.0
final_depth_non_transmitted_nm.p25,0.5
final_depth_non_transmitted_nm.p75,4.0
final_depth_non_transmitted_nm.p90,4.5
final_depth_non_transmitted_nm.p95,4.5
final_depth_non_transmitted_nm.p99,4.5
final_depth_non_transmitted_nm.min,0.0
final_depth_non_transmitted_nm.max,10.0
D_eff_m2_s.success_mean_FPT,1.3454153704843334e-20
D_eff_m2_s.success_median_FPT,1.444875837570494e-20
WVTR_g_m2_day.using_ideal_vapor_delta_c,4.600422947612494e-06
WVTR_g_m2_day.using_user_delta_c,
WVTR_g_m2_day.using_literature_sorbed_C1_6p77_kg_m3,0.000749496306501581
WVTR_g_m2_day.relative_WVTR_factor_equals_relative_D_eff,True
