metric,value
source_raw_npz,/home/xiao/文档/KMC/kmc_bilayer_all/kmc_bilayer_tem_single_period_200k/bilayer_corrected_raw.npz
assumptions.dx_nm,0.5
assumptions.film_thickness_nm,10.5
assumptions.temperature_c,38.0
assumptions.rh_high,0.9
assumptions.rh_low,0.0
assumptions.wvtr_formula,"WVTR = D_eff * delta_C / L * 86400 * 1000, units g m^-2 day^-1"
assumptions.delta_c_vapor_kg_m3_ideal_gas,0.04155439204325271
assumptions.delta_c_used_kg_m3,0.04155439204325271
assumptions.literature_sorbed_delta_c_kg_m3_from_C1_0.00677_g_cm3,6.77
assumptions.path_length_definition,Lpath = path_steps * dx_nm; includes surface and bulk lattice hops.
assumptions.tortuosity_definition,tau = Lpath / film_thickness_nm.
assumptions.censoring_note,"FPT, Lpath, tau summaries are for transmitted particles unless explicitly named all_particles."
Ptrans,0.023115
particles,200000
transmitted,4623
non_transmitted,195377
FPT_success_s.count,4623
FPT_success_s.mean,4526.631517032128
FPT_success_s.median,4485.184411259147
FPT_success_s.std,2623.1098374197545
FPT_success_s.p01,100.75760905993747
FPT_success_s.p05,486.9126555946557
FPT_success_s.p10,950.7571226173552
FPT_success_s.p25,2261.654611902545
FPT_success_s.p75,6806.919175984049
FPT_success_s.p90,8175.063157977486
FPT_success_s.p95,8648.59828776684
FPT_success_s.p99,9094.558902585302
FPT_success_s.min,12.338196455710737
FPT_success_s.max,9656.438259748536
FPT_all_recorded_s.count,200000
FPT_all_recorded_s.mean,8155.714234668951
FPT_all_recorded_s.median,8959.009715688322
FPT_all_recorded_s.std,2579.557074150774
FPT_all_recorded_s.p01,0.0005227102209588362
FPT_all_recorded_s.p05,0.015048518758892269
FPT_all_recorded_s.p10,6896.936237796538
FPT_all_recorded_s.p25,8723.964877424012
FPT_all_recorded_s.p75,9165.37949983472
FPT_all_recorded_s.p90,9343.500415416433
FPT_all_recorded_s.p95,9449.592500127514
FPT_all_recorded_s.p99,9645.18620022785
FPT_all_recorded_s.min,0.0
FPT_all_recorded_s.max,10302.671838593187
path_steps_success.count,4623
path_steps_success.mean,2493028.721176725
path_steps_success.median,2463186.0
path_steps_success.std,1452775.2432518054
path_steps_success.p01,45130.92
path_steps_success.p05,242231.2
path_steps_success.p10,509035.0000000001
path_steps_success.p25,1229641.0
path_steps_success.p75,3760385.0
path_steps_success.p90,4514304.800000001
path_steps_success.p95,4757951.299999999
path_steps_success.p99,4951980.2
path_steps_success.min,5091.0
path_steps_success.max,4998168.0
path_length_success_nm.count,4623
path_length_success_nm.mean,1246514.3605883624
path_length_success_nm.median,1231593.0
path_length_success_nm.std,726387.6216259027
path_length_success_nm.p01,22565.46
path_length_success_nm.p05,121115.6
path_length_success_nm.p10,254517.50000000006
path_length_success_nm.p25,614820.5
path_length_success_nm.p75,1880192.5
path_length_success_nm.p90,2257152.4000000004
path_length_success_nm.p95,2378975.6499999994
path_length_success_nm.p99,2475990.1
path_length_success_nm.min,2545.5
path_length_success_nm.max,2499084.0
path_length_success_um.count,4623
path_length_success_um.mean,1246.5143605883627
path_length_success_um.median,1231.593
path_length_success_um.std,726.3876216259027
path_length_success_um.p01,22.56546
path_length_success_um.p05,121.1156
path_length_success_um.p10,254.51750000000004
path_length_success_um.p25,614.8205
path_length_success_um.p75,1880.1925
path_length_success_um.p90,2257.1524000000004
path_length_success_um.p95,2378.9756499999994
path_length_success_um.p99,2475.9901
path_length_success_um.min,2.5455
path_length_success_um.max,2499.084
path_length_success_mm.count,4623
path_length_success_mm.mean,1.2465143605883626
path_length_success_mm.median,1.231593
path_length_success_mm.std,0.7263876216259028
path_length_success_mm.p01,0.02256546
path_length_success_mm.p05,0.1211156
path_length_success_mm.p10,0.25451750000000006
path_length_success_mm.p25,0.6148205
path_length_success_mm.p75,1.8801925000000002
path_length_success_mm.p90,2.2571524000000003
path_length_success_mm.p95,2.3789756499999997
path_length_success_mm.p99,2.4759900999999997
path_length_success_mm.min,0.0025455
path_length_success_mm.max,2.499084
tortuosity_success.count,4623
tortuosity_success.mean,118715.65338936787
tortuosity_success.median,117294.57142857143
tortuosity_success.std,69179.7734881812
tortuosity_success.p01,2149.0914285714284
tortuosity_success.p05,11534.819047619047
tortuosity_success.p10,24239.76190476191
tortuosity_success.p25,58554.333333333336
tortuosity_success.p75,179065.95238095237
tortuosity_success.p90,214966.89523809525
tortuosity_success.p95,226569.10952380946
tortuosity_success.p99,235808.58095238096
tortuosity_success.min,242.42857142857142
tortuosity_success.max,238008.0
final_depth_non_transmitted_nm.count,195377
final_depth_non_transmitted_nm.mean,2.5697702390762474
final_depth_non_transmitted_nm.median,3.0
final_depth_non_transmitted_nm.std,1.5718301303659103
final_depth_non_transmitted_nm.p01,0.0
final_depth_non_transmitted_nm.p05,0.0
final_depth_non_transmitted_nm.p10,0.0
final_depth_non_transmitted_nm.p25,1.0
final_depth_non_transmitted_nm.p75,4.0
final_depth_non_transmitted_nm.p90,4.5
final_depth_non_transmitted_nm.p95,4.5
final_depth_non_transmitted_nm.p99,4.5
final_depth_non_transmitted_nm.min,0.0
final_depth_non_transmitted_nm.max,7.0
D_eff_m2_s.success_mean_FPT,1.2177929613352438e-20
D_eff_m2_s.success_median_FPT,1.2290464548485423e-20
WVTR_g_m2_day.using_ideal_vapor_delta_c,4.164039454039275e-06
WVTR_g_m2_day.using_user_delta_c,
WVTR_g_m2_day.using_literature_sorbed_C1_6p77_kg_m3,0.0006784011440837155
WVTR_g_m2_day.relative_WVTR_factor_equals_relative_D_eff,True
