metric,value
particles,200000
transmitted,5812
success_rate,0.02906
mean_path_steps_all,118312.121855
median_path_steps_all,120000.0
mean_first_passage_s,135636.0549488044
median_first_passage_s,709.9812581719441
p10_first_passage_s,133.66308111863242
p90_first_passage_s,490290.8158687179
mean_path_steps_success,61917.47608396421
median_path_steps_success,62169.0
relative_D_eff_m2_s,7.864182330201791e-21
tortuosity_steps_over_thickness,773.9684510495526
elapsed_s,9.404787540435791
width_cells,240
height_cells,80
n_al2o3_cells,40
dx_nm,1.0
temperature_k,311.15
nu_s_inv,1000000000000.0
max_events,120000
max_time_s,1000000000000.0
threads_per_block,256
seed,20260514
barriers_eV.E_Al2O3_defect,0.62
barriers_eV.E_Al2O3_matrix,0.86
barriers_eV.E_ZnO_GB,0.66
barriers_eV.E_ZnO_bulk,1.05
barriers_eV.E_interface,0.74
