metric,value
model,coarse_grained_trilayer_brownian_kmc
assumptions.description,Al2O3 defects are through-layer entry/exit windows; polymer interlayer decouples defects and imposes a Brownian lateral search penalty calibrated to observed trilayer WVTR.
assumptions.Al2O3_top_nm,44.0
assumptions.polymer_nm,208.0
assumptions.Al2O3_bottom_nm,44.0
assumptions.total_thickness_nm,296.0
assumptions.D_Al2O3_m2_s,5.26e-19
assumptions.D_polymer_m2_s,2e-13
assumptions.defect_diameter_um,1.0
assumptions.defect_spacing_um,100.0
assumptions.coarse_path_hop_um,1.0
assumptions.path_length_note,Brownian path length is scale-dependent; this model reports coarse arc length at the chosen hop scale.
assumptions.observation_time_s_for_Ptrans,86400.0
assumptions.delta_c_kg_m3_inferred_from_single_layer_WVTR,1.219898605830165
calibration.single_layer_WVTR_mg_m2_day,1.26
calibration.target_trilayer_WVTR_mg_m2_day,0.046
calibration.target_D_eff_m2_s,1.291849927849928e-19
calibration.target_mean_FPT_s_from_D_eff,339110.59679285827
calibration.Al2O3_defect_crossing_mean_s_each,1840.3041825095058
calibration.polymer_lateral_search_mean_s_calibrated,335429.98842783924
calibration.defect_area_fraction,7.853981633974483e-05
calibration.mean_nearest_defect_distance_um,38.25978582321063
calibration.narrow_escape_time_2pi_s,37607.934451838846
calibration.calibrated_search_over_narrow_escape_2pi,8.919128192413618
outputs.particles,200000
outputs.Ptrans_observation_window,0.178885
outputs.transmitted_in_window,35777
outputs.FPT_eventual_s.count,200000
outputs.FPT_eventual_s.mean,340932.4713441753
outputs.FPT_eventual_s.median,252994.34059725006
outputs.FPT_eventual_s.std,308450.0823847644
outputs.FPT_eventual_s.p01,10264.864040611872
outputs.FPT_eventual_s.p05,29916.726961761524
outputs.FPT_eventual_s.p10,52140.1127959121
outputs.FPT_eventual_s.p25,118406.07775578427
outputs.FPT_eventual_s.p75,468531.06668306945
outputs.FPT_eventual_s.p90,746173.2024428245
outputs.FPT_eventual_s.p95,953215.332274833
outputs.FPT_eventual_s.p99,1417510.21304469
outputs.FPT_eventual_s.min,865.3709758516914
outputs.FPT_eventual_s.max,3945759.661423922
outputs.FPT_transmitted_within_window_s.count,35777
outputs.FPT_transmitted_within_window_s.mean,47021.43022092881
outputs.FPT_transmitted_within_window_s.median,47453.95846171008
outputs.FPT_transmitted_within_window_s.std,23216.32677647058
outputs.FPT_transmitted_within_window_s.p01,4865.113303287161
outputs.FPT_transmitted_within_window_s.p05,9627.750209292528
outputs.FPT_transmitted_within_window_s.p10,14601.068526561421
outputs.FPT_transmitted_within_window_s.p25,27409.595608651427
outputs.FPT_transmitted_within_window_s.p75,67022.4983285719
outputs.FPT_transmitted_within_window_s.p90,78720.78233500487
outputs.FPT_transmitted_within_window_s.p95,82711.86115786733
outputs.FPT_transmitted_within_window_s.p99,85678.36179927812
outputs.FPT_transmitted_within_window_s.min,865.3709758516914
outputs.FPT_transmitted_within_window_s.max,86395.97641232413
outputs.Lpath_coarse_m.count,200000
outputs.Lpath_coarse_m.mean,0.26980260582174886
outputs.Lpath_coarse_m.median,0.19943555794258094
outputs.Lpath_coarse_m.std,0.24675518662751464
outputs.Lpath_coarse_m.p01,0.005370215033762682
outputs.Lpath_coarse_m.p05,0.020998542131908392
outputs.Lpath_coarse_m.p10,0.03881176580125037
outputs.Lpath_coarse_m.p25,0.09174366340100314
outputs.Lpath_coarse_m.p75,0.3718957498829973
outputs.Lpath_coarse_m.p90,0.593963917043195
outputs.Lpath_coarse_m.p95,0.759587738679088
outputs.Lpath_coarse_m.p99,1.1310018632465502
outputs.Lpath_coarse_m.min,2.0035054342731036e-05
outputs.Lpath_coarse_m.max,3.1560294500099966
outputs.Lpath_coarse_mm.count,200000
outputs.Lpath_coarse_mm.mean,269.8026058217489
outputs.Lpath_coarse_mm.median,199.43555794258094
outputs.Lpath_coarse_mm.std,246.75518662751466
outputs.Lpath_coarse_mm.p01,5.370215033762682
outputs.Lpath_coarse_mm.p05,20.99854213190839
outputs.Lpath_coarse_mm.p10,38.81176580125037
outputs.Lpath_coarse_mm.p25,91.74366340100313
outputs.Lpath_coarse_mm.p75,371.8957498829973
outputs.Lpath_coarse_mm.p90,593.963917043195
outputs.Lpath_coarse_mm.p95,759.587738679088
outputs.Lpath_coarse_mm.p99,1131.0018632465503
outputs.Lpath_coarse_mm.min,0.020035054342731038
outputs.Lpath_coarse_mm.max,3156.0294500099967
outputs.tortuosity.count,200000
outputs.tortuosity.mean,911495.289938341
outputs.tortuosity.median,673768.7768330437
outputs.tortuosity.std,833632.3872551172
outputs.tortuosity.p01,18142.618357306357
outputs.tortuosity.p05,70941.02071590674
outputs.tortuosity.p10,131120.83040962962
outputs.tortuosity.p25,309944.8087871728
outputs.tortuosity.p75,1256404.5604155313
outputs.tortuosity.p90,2006634.8548756586
outputs.tortuosity.p95,2566174.792834757
outputs.tortuosity.p99,3820952.240697805
outputs.tortuosity.min,67.68599440111836
outputs.tortuosity.max,10662261.655439178
outputs.D_eff_m2_s,1.2849465416796663e-19
outputs.WVTR_mg_m2_day_calibrated_delta_c,0.0457541852524925
outputs.WVTR_mg_m2_day_ideal_vapor_delta_c,0.0015585617874428353
